,search_term,geo_code,nyc_opening_engagement,event_engagement,static_engagement,in_town_engagement,state
247,avenue q (tour),US-FL-528,49,3,16,59,FL
255,wicked (tour: emerald city),US-PA-508,16,19,21,35,PA
260,movin' out (tour),US-IL-602,56,36,25,68,IL
261,wicked (tour: emerald city),CA-ON,37,4,21,36,ON
267,wicked (tour: emerald city),US-OK-650,73,19,13,100,OK
273,wicked (tour: emerald city),US-CO-751,39,18,18,81,CO
290,wicked (tour: emerald city),US-MA-521,32,8,11,28,MA
297,wicked (tour: emerald city),US-DC-511,58,19,33,40,DC
301,movin' out (tour),US-MN-613,22,23,13,100,MN
305,wicked (tour: emerald city),US-NY-514,6,4,4,100,NY
306,wicked (tour: emerald city),US-MA-521,17,11,5,82,MA
307,movin' out (tour),US-TX-623,27,11,7,14,TX
308,avenue q (tour),US-NY-514,21,13,9,0,NY
309,avenue q (tour),US-MD-512,42,10,6,100,MD
310,avenue q (tour),US-GA-524,67,12,8,57,GA
341,wicked (tour: emerald city),US-FL-534,43,34,32,83,FL
343,movin' out (tour),US-AZ-753,15,18,17,13,AZ
344,wicked (tour: emerald city),US-OH-535,11,27,20,45,OH
345,movin' out (tour),US-FL-528,10,13,11,100,FL
347,movin' out (tour),US-GA-524,47,17,14,92,GA
349,avenue q (tour),US-MN-613,23,32,28,96,MN
350,avenue q (tour),US-FL-528,68,53,53,57,FL
351,movin' out (tour),US-IL-602,45,51,41,28,IL
352,movin' out (tour),US-WA-819,29,45,42,49,WA
353,avenue q (tour),US-PA-504,21,42,57,100,PA
354,avenue q (tour),US-CA-803,43,26,25,32,CA
355,wicked (tour: emerald city),US-CT-533,56,42,47,61,CT
356,avenue q (tour),US-AZ-789,40,23,19,100,AZ
358,movin' out (tour),US-NY-538,15,24,24,100,NY
359,wicked (tour: emerald city),US-MI-505,36,33,35,65,MI
360,avenue q (tour),US-IL-609,68,62,65,41,IL
361,movin' out (tour),CA-ON,74,65,64,99,ON
362,wicked (tour: emerald city),US-TX-618,90,82,84,96,TX
363,wicked (tour: emerald city),US-DC-511,82,76,78,86,DC
364,avenue q (tour),US-NC-560,65,71,74,100,NC
365,movin' out (tour),US-NC-560,78,68,65,87,NC
366,wicked (tour: emerald city),US-OH-515,80,77,81,88,OH
367,avenue q (tour),US-MA-506,96,49,53,97,MA
368,avenue q (tour),US-DC-511,47,45,48,57,DC
372,movin' out (tour),US-MO-616,55,53,56,76,MO
373,wicked (tour: emerald city),US-FL-539,54,50,53,88,FL
374,wicked (tour: emerald city),CA-ON,55,52,59,64,ON
375,avenue q (tour),US-MI-551,36,31,34,55,MI
376,movin' out (tour),US-TX-618,76,62,66,100,TX
378,wicked (tour: emerald city),US-FL-528,72,58,61,73,FL
379,wicked (tour: emerald city),US-MD-512,47,46,49,62,MD
381,movin' out (tour),US-IL-609,59,63,65,90,IL
382,wicked (tour: emerald city),US-PA-508,86,76,77,100,PA
