,Unnamed: 0,title,tour_descript,show_type,tour_opening,tour_closing,original_or_revival,reference_url,year
538,538,Man of La Mancha (Tour),Tour,Musical,1971-11-09 00:00:00,1971-12-18 00:00:00,Original,http://www.ibdb.com/broadway-production/man-of-la-mancha-525161#Tours,1971
539,539,Purlie (Tour),Tour,Musical,1971-11-20 00:00:00,1972-12-02 00:00:00,Original,http://www.ibdb.com/broadway-production/purlie-525163#Tours,1971
540,540,Very Good Eddie (Tour),Tour,Musical,1976-10-04 00:00:00,1977-01-08 00:00:00,Revival,http://www.ibdb.com/broadway-production/very-good-eddie-525228#Tours,1976
541,541,Ain't Misbehavin' (Tour),Tour,Musical,1979-02-23 00:00:00,1980-05-04 00:00:00,Original,http://www.ibdb.com/broadway-production/aint-misbehavin-525235#Tours,1979
542,542,"Play It Again, Sam (Tour)",Tour,Play,1970-09-15 00:00:00,1971-02-27 00:00:00,Original,http://www.ibdb.com/broadway-production/play-it-again-sam-525246#Tours,1970
543,543,One Mo' Time (Tour),Tour,Musical,1980-06-28 00:00:00,1982-05-30 00:00:00,Original,http://www.ibdb.com/broadway-production/one-mo-time-525248#Tours,1980
544,544,The Day After the Fair (Tour),Tour,Play,1973-09-04 00:00:00,1974-01-20 00:00:00,Original,http://www.ibdb.com/broadway-production/the-day-after-the-fair-525331#Tours,1973
545,545,Evita (Tour),Tour,Musical,1982-02-23 00:00:00,1984-07-08 00:00:00,Original,http://www.ibdb.com/broadway-production/evita-525353#Tours,1982
546,546,Ain't Misbehavin' (Tour),Tour,Musical,1979-05-08 00:00:00,1981-02-15 00:00:00,Original,http://www.ibdb.com/broadway-production/aint-misbehavin-525369#Tours,1979
547,547,Ain't Misbehavin' (Tour),Tour,Musical,1979-09-25 00:00:00,1980-08-10 00:00:00,Original,http://www.ibdb.com/broadway-production/aint-misbehavin-525375#Tours,1979
548,548,Good News (Tour),Tour,Musical,1973-12-15 00:00:00,1974-10-20 00:00:00,Revival,http://www.ibdb.com/broadway-production/good-news-525426#Tours,1973
549,549,42nd Street (Tour),Tour,Musical,1987-07-28 00:00:00,1988-01-24 00:00:00,Original,http://www.ibdb.com/broadway-production/42nd-street-525500#Tours,1987
550,550,Godspell (Tour),Tour,Musical,1972-07-13 00:00:00,1973-09-09 00:00:00,Original,http://www.ibdb.com/broadway-production/godspell-525588#Tours,1972
551,551,Godspell (Tour),Tour,Musical,1972-09-12 00:00:00,1973-08-05 00:00:00,Original,http://www.ibdb.com/broadway-production/godspell-525589#Tours,1972
552,552,Godspell (Tour),Tour,Musical,1972-09-25 00:00:00,1973-08-19 00:00:00,Original,http://www.ibdb.com/broadway-production/godspell-525590#Tours,1972
553,553,Godspell (Tour),Tour,Musical,1972-10-20 00:00:00,1973-07-28 00:00:00,Original,http://www.ibdb.com/broadway-production/godspell-525591#Tours,1972
554,554,Godspell (Tour),Tour,Musical,1973-09-06 00:00:00,1974-04-20 00:00:00,Original,http://www.ibdb.com/broadway-production/godspell-525592#Tours,1973
555,555,Godspell (Tour),Tour,Musical,1973-09-10 00:00:00,1974-06-23 00:00:00,Original,http://www.ibdb.com/broadway-production/godspell-525593#Tours,1973
556,556,Hamilton (Tour: Eliza),Tour: Eliza,Musical,2016-09-27 00:00:00,,Original,http://www.ibdb.com/broadway-production/hamilton-525626#Tours,2016
557,557,Hamilton (Tour: And Peggy),Tour: And Peggy,Musical,2019-02-12 00:00:00,,Original,http://www.ibdb.com/broadway-production/hamilton-525632#Tours,2019
558,558,"Harry Potter and the Cursed Child, Parts One and Two (Tour)",Tour,Play,2019-10-23 00:00:00,,Original,http://www.ibdb.com/broadway-production/harry-potter-and-the-cursed-child-parts-one-and-two-525791#Tours,2019
559,559,Chapter Two (Tour),Tour,Play,1978-12-27 00:00:00,1980-01-20 00:00:00,Original,http://www.ibdb.com/broadway-production/chapter-two-525870#Tours,1978
560,560,Annie (Tour: Fourth National),Tour: Fourth National,Musical,1981-09-11 00:00:00,1983-03-13 00:00:00,Original,http://www.ibdb.com/broadway-production/annie-525872#Tours,1981
561,561,Applause (Tour),Tour,Musical,1971-11-29 00:00:00,1972-07-22 00:00:00,Original,http://www.ibdb.com/broadway-production/applause-525922#Tours,1971
562,562,Light Up the Sky (Tour),Tour,Play,1971-08-17 00:00:00,1971-12-11 00:00:00,Revival,http://www.ibdb.com/broadway-production/light-up-the-sky-526116#Tours,1971
563,563,And Miss Reardon Drinks a Little (Tour),Tour,Play,1971-09-06 00:00:00,1972-03-11 00:00:00,Original,http://www.ibdb.com/broadway-production/and-miss-reardon-drinks-a-little-526120#Tours,1971
564,564,Glengarry Glen Ross (Tour),Tour,Play,1985-10-22 00:00:00,1986-03-29 00:00:00,Original,http://www.ibdb.com/broadway-production/glengarry-glen-ross-526123#Tours,1985
565,565,The Rothschilds (Tour),Tour,Musical,1972-05-09 00:00:00,1972-11-04 00:00:00,Original,http://www.ibdb.com/broadway-production/the-rothschilds-526297#Tours,1972
566,566,Applause (Tour),Tour,Musical,1972-09-22 00:00:00,1973-05-03 00:00:00,Original,http://www.ibdb.com/broadway-production/applause-526361#Tours,1972
567,567,Fiddler on the Roof (Tour),Tour,Musical,1966-04-11 00:00:00,1970-01-17 00:00:00,Original,http://www.ibdb.com/broadway-production/fiddler-on-the-roof-526369#Tours,1966
