,title,tour_descript,show_type_tour,tour_opening,tour_closing,original_or_revival,reference_url,year_tour,year_nyc,opening_date,closing_date,production_type,show_type_nyc,n_performances_nyc
71,Twelve Angry Men,Twelve Angry Men (Tour),Play,2006-09-19 00:00:00,2008-06-15 00:00:00,Original,http://www.ibdb.com/broadway-production/twelve-angry-men-507034#Tours,2006,2004,2004-10-28,2005-05-15,Original Production,Play,228.0
72,Golda's Balcony,Golda's Balcony (Tour),Play,2005-10-11 00:00:00,2006-06-11 00:00:00,Original,http://www.ibdb.com/broadway-production/goldas-balcony-507127#Tours,2005,2003,2003-10-15,2005-01-02,Original Production,Play,493.0
73,Avenue Q,Avenue Q (Tour),Musical,2007-06-30 00:00:00,2009-05-10 00:00:00,Original,http://www.ibdb.com/broadway-production/avenue-q-507194#Tours,2007,2003,2003-07-31,2009-09-13,Original Production,Musical,
74,Dirty Rotten Scoundrels,Dirty Rotten Scoundrels (Tour),Musical,2006-08-04 00:00:00,2007-08-19 00:00:00,Original,http://www.ibdb.com/broadway-production/dirty-rotten-scoundrels-507245#Tours,2006,2005,2005-03-03,2006-09-03,Original Production,Musical,627.0
75,My Fair Lady,My Fair Lady (Tour),Musical,2019-12-10 00:00:00,,Revival,http://www.ibdb.com/broadway-production/my-fair-lady-522677#Tours,2019,2018,2018-04-19,2019-07-07,Production,Musical,
76,Little Women,Little Women (Tour),Musical,2005-09-02 00:00:00,2006-08-20 00:00:00,Original,http://www.ibdb.com/broadway-production/little-women-507340#Tours,2005,2005,2005-01-23,2005-05-22,Original Production,Musical,137.0
77,The Light in the Piazza,The Light in the Piazza (Tour),Musical,2006-08-01 00:00:00,2007-07-22 00:00:00,Original,http://www.ibdb.com/broadway-production/the-light-in-the-piazza-507414#Tours,2006,2005,2005-04-18,2006-07-02,Original Production,Musical,504.0
78,Doubt,Doubt (Tour),Play,2006-09-22 00:00:00,2007-05-20 00:00:00,Original,http://www.ibdb.com/broadway-production/doubt-507516#Tours,2006,2005,2005-03-31,2006-07-02,Original Production,Play,525.0
79,Chita Rivera: The Dancer's Life,Chita Rivera: The Dancer's Life (Tour),Musical,2006-12-19 00:00:00,2007-06-10 00:00:00,Original,http://www.ibdb.com/broadway-production/chita-rivera-the-dancers-life-507575#Tours,2006,2005,2005-12-11,2006-02-19,Original Production,Revue,72.0
80,Bombay Dreams,Bombay Dreams (Tour),Musical,2006-02-21 00:00:00,2006-10-01 00:00:00,Original,http://www.ibdb.com/broadway-production/bombay-dreams-507586#Tours,2006,2004,2004-04-29,2005-01-01,Original Production,Musical,284.0
81,Brooklyn,Brooklyn (Tour),Musical,2006-06-11 00:00:00,2006-08-13 00:00:00,Original,http://www.ibdb.com/broadway-production/brooklyn-507622#Tours,2006,2004,2004-10-21,2005-06-26,Original Production,Musical,284.0
82,Sweet Charity,Sweet Charity (Tour),Musical,2006-09-05 00:00:00,2007-08-12 00:00:00,Revival,http://www.ibdb.com/broadway-production/sweet-charity-507655#Tours,2006,2005,2005-05-04,2005-12-31,Revival,Musical,279.0
83,All Shook Up,All Shook Up (Tour),Musical,2006-09-12 00:00:00,2007-07-01 00:00:00,Original,http://www.ibdb.com/broadway-production/all-shook-up-507676#Tours,2006,2005,2005-03-24,2005-09-25,Original Production,Musical,213.0
84,Movin' Out,Movin' Out (Tour),Musical,2004-01-27 00:00:00,2007-01-21 00:00:00,Original,http://www.ibdb.com/broadway-production/movin-out-507696#Tours,2004,2002,2002-10-24,2005-12-11,Original Production,,1303.0
85,Little Shop of Horrors,Little Shop of Horrors (Tour),Musical,2004-08-03 00:00:00,2006-04-16 00:00:00,Revival,http://www.ibdb.com/broadway-production/little-shop-of-horrors-507804#Tours,2004,2003,2003-10-02,2004-08-22,Original Production,Musical,372.0
86,The 25th Annual Putnam County Spelling Bee,The 25th Annual Putnam County Spelling Bee (Tour),Musical,2006-09-19 00:00:00,2008-06-01 00:00:00,Original,http://www.ibdb.com/broadway-production/the-25th-annual-putnam-county-spelling-bee-507838#Tours,2006,2005,2005-05-02,2008-01-20,Original Production,Musical,1136.0
87,Big River,Big River (Tour),Musical,2004-06-11 00:00:00,2005-06-05 00:00:00,Revival,http://www.ibdb.com/broadway-production/big-river-508568#Tours,2004,2003,2003-07-24,2003-09-21,Revival,Musical,67.0
88,I Am My Own Wife,I Am My Own Wife (Tour),Play,2005-01-08 00:00:00,2005-09-11 00:00:00,Original,http://www.ibdb.com/broadway-production/i-am-my-own-wife-509354#Tours,2005,2003,2003-12-03,2004-10-31,Original Production,Play,360.0
89,Miss Saigon,Miss Saigon (Tour),Musical,2018-09-21 00:00:00,2020-03-15 00:00:00,Revival,http://www.ibdb.com/broadway-production/miss-saigon-518088#Tours,2018,2017,2017-03-23,2018-01-14,Revival,Musical,
90,Falsettos,Falsettos (Tour),Musical,2019-02-08 00:00:00,2019-06-30 00:00:00,Revival,http://www.ibdb.com/broadway-production/falsettos-518730#Tours,2019,2016,2016-10-27,2017-01-08,Revival,Musical,
91,Cats,Cats (Tour),Musical,2019-01-22 00:00:00,2020-03-12 00:00:00,Revival,http://www.ibdb.com/broadway-production/cats-518856#Tours,2019,2016,2016-07-31,2017-12-30,Revival,Musical,
92,On Golden Pond,On Golden Pond (Tour),Play,2006-08-22 00:00:00,2007-03-04 00:00:00,Revival,http://www.ibdb.com/broadway-production/on-golden-pond-513894#Tours,2006,2005,2005-04-07,2005-06-26,Revival,Play,93.0
93,Waitress,Waitress (Tour),Musical,2017-10-17 00:00:00,2019-08-18 00:00:00,Original,http://www.ibdb.com/broadway-production/waitress-514071#Tours,2017,2016,2016-04-24,2020-01-05,Premiere,Musical,
94,Love Never Dies,Love Never Dies (Tour),Musical,2017-09-22 00:00:00,2018-12-02 00:00:00,Original,http://www.ibdb.com/broadway-production/love-never-dies-514806#Tours,2017,2011,2012-12-31,,Original Production,Musical,
95,Escape to Margaritaville,Escape to Margaritaville (Tour),Musical,2017-10-20 00:00:00,2017-12-02 00:00:00,Original,http://www.ibdb.com/broadway-production/escape-to-margaritaville-515056#Tours,2017,2018,2018-03-15,2018-07-01,Premiere,Musical,
96,Dame Edna Back with a Vengeance,Dame Edna: Back with a Vengeance (Tour),Special,2005-10-25 00:00:00,2006-04-16 00:00:00,Original,http://www.ibdb.com/broadway-production/dame-edna-back-with-a-vengeance-515336#Tours,2005,2004,2004-11-21,2005-05-01,Original Production,Play,163.0
97,Bright Star,Bright Star (Tour),Musical,2017-10-11 00:00:00,2018-07-01 00:00:00,Original,http://www.ibdb.com/broadway-production/bright-star-516406#Tours,2017,2016,2016-03-24,2016-06-26,Premiere,Musical,
98,The Humans,The Humans (Tour),Play,2018-01-09 00:00:00,2018-07-29 00:00:00,Original,http://www.ibdb.com/broadway-production/the-humans-516619#Tours,2018,2016,2016-02-18,2017-01-15,Premiere,Play,
99,Dear Evan Hansen,Dear Evan Hansen (Tour),Musical,2018-09-25 00:00:00,,Original,http://www.ibdb.com/broadway-production/dear-evan-hansen-518027#Tours,2018,2016,2016-12-04,,Premiere,Musical,
100,Anastasia,Anastasia (Tour),Musical,2018-10-09 00:00:00,2020-03-12 00:00:00,Original,http://www.ibdb.com/broadway-production/anastasia-518302#Tours,2018,2017,2017-04-24,2019-03-31,Premiere,Musical,
101,Charlie and the Chocolate Factory,Charlie and the Chocolate Factory (Tour),Musical,2018-09-22 00:00:00,2019-10-13 00:00:00,Original,http://www.ibdb.com/broadway-production/charlie-and-the-chocolate-factory-518389#Tours,2018,2017,2017-04-23,2018-01-14,Premiere,Musical,
102,Come From Away,Come From Away (Tour),Musical,2018-10-05 00:00:00,,Original,http://www.ibdb.com/broadway-production/come-from-away-518408#Tours,2018,2017,2017-03-12,,Premiere,Musical,
103,The Play That Goes Wrong,The Play That Goes Wrong (Tour),Play,2018-09-14 00:00:00,2020-03-10 00:00:00,Original,http://www.ibdb.com/broadway-production/the-play-that-goes-wrong-518657#Tours,2018,2017,2017-04-02,2019-01-06,Premiere,Play,
104,Frozen,Frozen (Tour),Musical,2019-11-10 00:00:00,,Original,http://www.ibdb.com/broadway-production/frozen-521605#Tours,2019,2018,2018-03-22,2020-03-11,Original Production,Musical,
105,Mean Girls,Mean Girls (Tour),Musical,2019-09-21 00:00:00,,Original,http://www.ibdb.com/broadway-production/mean-girls-522168#Tours,2019,2018,2018-04-08,,Original Production,Musical,
106,The Last Ship,The Last Ship (Tour),Musical,2020-01-14 00:00:00,2020-03-11 00:00:00,Revival,http://www.ibdb.com/broadway-production/the-last-ship-523728#Tours,2020,2014,2014-10-26,2015-01-24,Premiere,Musical,
107,What the Constitution Means to Me,What the Constitution Means to Me (Tour),Play,2020-01-12 00:00:00,,Original,http://www.ibdb.com/broadway-production/what-the-constitution-means-to-me-526565#Tours,2020,2019,2019-03-31,2019-08-24,Original Production,Play,
